Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,2.032941,2.042715,2.023168,2.042715,1.113942,1310652
2011-01-04,2.042715,2.072036,2.032941,2.072036,1.129931,4369864
2011-01-05,2.062263,2.120905,2.062263,2.091584,1.140591,9505042
2011-01-06,2.101358,2.120905,2.091584,2.120905,1.156581,5138248
2011-01-07,2.120905,2.130679,2.111131,2.111131,1.151251,4841535
2011-01-10,2.111131,2.130679,2.111131,2.111131,1.151251,5176104
2011-01-11,2.120905,2.150227,2.111131,2.120905,1.156581,5205775
2011-01-12,2.130679,2.150227,2.120905,2.140453,1.167241,7496603
2011-01-13,2.140453,2.140453,2.120905,2.130679,1.161911,5041049
2011-01-14,2.140453,2.140453,2.111131,2.130679,1.161911,1736281
2011-01-17,2.111131,2.130679,2.111131,2.111131,1.151251,2183397
2011-01-18,2.130679,2.130679,2.072036,2.101358,1.145921,5003192
2011-01-19,2.091584,2.111131,2.081810,2.101358,1.145921,4594956
2011-01-20,2.091584,2.091584,2.062263,2.072036,1.129931,5324461
2011-01-21,2.052489,2.052489,2.023168,2.042715,1.131483,3709933
2011-01-24,2.052489,2.062263,2.042715,2.062263,1.142311,1251309
2011-01-25,2.062263,2.101358,2.062263,2.081810,1.153138,3004985
2011-01-26,2.091584,2.101358,2.072036,2.091584,1.158552,4474225
2011-01-27,2.081810,2.101358,2.062263,2.072036,1.147725,2574239
2011-01-28,2.072036,2.081810,2.052489,2.072036,1.147725,3281234
2011-01-31,2.062263,2.072036,2.042715,2.042715,1.131483,4995007
2011-02-01,2.052489,2.062263,2.032941,2.042715,1.131483,3247471
2011-02-02,2.042715,2.062263,2.042715,2.062263,1.142311,4027109
2011-02-07,2.081810,2.111131,2.062263,2.072036,1.147725,4784239
2011-02-08,2.081810,2.081810,2.052489,2.072036,1.147725,7596872
2011-02-09,2.081810,2.091584,2.052489,2.062263,1.142311,8981191
2011-02-10,2.052489,2.081810,2.052489,2.052489,1.136897,4512081
2011-02-11,2.032941,2.052489,2.003620,2.013394,1.115242,3685378
2011-02-14,2.023168,2.032941,1.993846,1.993846,1.104414,5131086
2011-02-15,1.993846,2.003620,1.974299,1.993846,1.104414,4207183
2011-02-16,1.993846,2.013394,1.964525,2.013394,1.115242,6007923
2011-02-17,2.003620,2.013394,1.964525,1.974299,1.093586,8032733
2011-02-18,1.974299,1.993846,1.964525,1.974299,1.093586,7532414
2011-02-21,1.984073,2.013394,1.974299,2.003620,1.109828,2890392
2011-02-22,1.984073,1.993846,1.964525,1.984073,1.099001,2010485
2011-02-23,1.984073,2.003620,1.974299,1.993846,1.104414,2627443
2011-02-24,1.993846,1.993846,1.964525,1.984073,1.099001,3774392
2011-02-25,1.964525,1.993846,1.964525,1.984073,1.099001,2574239
2011-02-28,1.974299,1.974299,1.954751,1.954751,1.082759,6221761
2011-03-01,1.954751,1.984073,1.954751,1.974299,1.093586,4517197
2011-03-02,1.964525,1.964525,1.944978,1.944978,1.077345,3534975
2011-03-03,1.935204,1.964525,1.935204,1.954751,1.082759,4602118
2011-03-04,1.974299,1.974299,1.944978,1.944978,1.077345,4407720
2011-03-07,1.954751,1.964525,1.944978,1.954751,1.082759,3812248
2011-03-08,1.954751,1.984073,1.954751,1.984073,1.099001,1903054
2011-03-09,1.974299,1.984073,1.964525,1.964525,1.088173,2425883
2011-03-10,1.964525,1.964525,1.935204,1.935204,1.071931,4289035
2011-03-11,1.925430,1.935204,1.905883,1.925430,1.066517,4668623
