Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,14.420000,14.540000,14.420000,14.500000,9.625031,3599000
2011-01-04,14.560000,14.660000,14.540000,14.600000,9.691410,5707000
2011-01-05,14.600000,14.840000,14.520000,14.700000,9.757791,9130000
2011-01-06,14.740000,14.860000,14.700000,14.860000,9.863998,8083000
2011-01-07,14.840000,14.960000,14.800000,14.900000,9.890549,6917000
2011-01-10,14.900000,14.960000,14.660000,14.720000,9.771066,6048000
2011-01-11,14.720000,14.860000,14.700000,14.740000,9.784342,4001000
2011-01-12,14.840000,14.840000,14.660000,14.840000,9.850722,2593000
2011-01-13,14.800000,14.860000,14.760000,14.820000,9.837447,2928000
2011-01-14,14.700000,14.720000,14.420000,14.700000,9.757791,5352000
2011-01-17,14.700000,14.760000,14.560000,14.620000,9.704687,2288000
2011-01-18,14.500000,14.760000,14.500000,14.760000,9.797619,3235000
2011-01-19,14.800000,14.920000,14.760000,14.900000,9.890549,8190000
2011-01-20,14.860000,14.900000,14.600000,14.760000,9.797619,4417000
2011-01-21,14.700000,14.820000,14.660000,14.820000,9.837447,4575000
2011-01-24,14.860000,14.920000,14.840000,14.860000,9.863998,4057000
2011-01-25,14.920000,14.980000,14.760000,14.880000,9.877273,3854000
2011-01-26,14.820000,15.120000,14.820000,15.060000,9.996757,9436000
2011-01-27,15.020000,15.160000,14.940000,15.080000,10.010035,7607000
2011-01-28,15.000000,15.160000,14.960000,15.140000,10.049861,3869000
2011-01-31,14.820000,15.100000,14.820000,15.020000,9.970206,8185000
2011-02-01,14.940000,15.100000,14.920000,15.000000,9.956930,6101000
2011-02-02,15.040000,15.180000,15.020000,15.140000,10.049861,3573000
2011-02-07,15.160000,15.240000,15.100000,15.180000,10.076410,4535000
2011-02-08,15.140000,15.180000,15.020000,15.120000,10.036587,5724000
2011-02-09,15.040000,15.160000,14.800000,14.980000,9.943651,7606000
2011-02-10,14.840000,14.900000,14.760000,14.820000,9.837447,6088000
2011-02-11,14.720000,14.820000,14.500000,14.800000,9.824170,9872000
2011-02-14,14.820000,14.980000,14.800000,14.980000,9.943651,5964000
2011-02-15,14.960000,14.960000,14.780000,14.940000,9.917103,4077000
2011-02-16,14.800000,14.860000,14.600000,14.700000,9.757791,6658000
2011-02-17,14.620000,14.660000,14.540000,14.580000,9.678134,5801000
2011-02-18,14.640000,14.760000,14.580000,14.600000,9.691410,3833000
2011-02-21,14.500000,14.540000,14.380000,14.480000,9.611756,4954000
2011-02-22,14.280000,14.380000,14.240000,14.260000,9.465720,4677000
2011-02-23,14.260000,14.360000,14.120000,14.260000,9.465720,6797000
2011-02-24,14.320000,14.360000,14.120000,14.200000,9.425895,3756000
2011-02-25,14.120000,14.320000,14.120000,14.320000,9.505548,3622000
2011-02-28,14.160000,14.340000,14.100000,14.180000,9.412619,7838000
2011-03-01,14.340000,14.480000,14.280000,14.420000,9.571927,4087000
2011-03-02,14.200000,14.300000,14.160000,14.160000,9.399342,5877000
2011-03-03,14.180000,14.340000,14.160000,14.180000,9.412619,4816000
2011-03-04,14.360000,14.360000,14.200000,14.200000,9.425895,3823000
2011-03-07,14.200000,14.340000,14.180000,14.340000,9.518826,2796000
2011-03-08,14.280000,14.560000,14.280000,14.540000,9.651583,5738000
2011-03-09,14.600000,14.600000,14.420000,14.460000,9.598481,5271000
2011-03-10,14.480000,14.480000,14.360000,14.420000,9.571927,2390000
2011-03-11,14.300000,14.400000,14.240000,14.360000,9.532100,4776000
2011-03-14,14.300000,14.480000,14.260000,14.460000,9.598481,2493000
2011-03-15,14.280000,14.320000,14.060000,14.080000,9.346240,7011000
2011-03-16,14.160000,14.220000,13.980000,14.080000,9.346240,7865000
2011-03-17,14.000000,14.160000,13.980000,14.040000,9.319687,4686000
2011-03-18,14.160000,14.220000,14.000000,14.000000,9.293135,5682000
2011-03-21,14.120000,14.340000,14.080000,14.280000,9.478997,3494000
2011-03-22,14.200000,14.340000,14.180000,14.280000,9.478997,3230000
2011-03-23,14.200000,14.340000,14.200000,14.240000,9.452444,2728000
2011-03-24,14.200000,14.360000,14.180000,14.240000,9.452444,3622000
2011-03-25,14.220000,14.480000,14.220000,14.320000,9.505548,3818000
2011-03-28,14.260000,14.420000,14.260000,14.340000,9.518826,2783000
2011-03-29,14.420000,14.500000,14.360000,14.500000,9.625031,3658000
2011-03-30,14.460000,14.600000,14.380000,14.520000,9.638309,5599000
2011-03-31,14.480000,14.640000,14.460000,14.640000,9.717963,8592000
2011-04-01,14.680000,14.780000,14.640000,14.720000,9.771066,3882000
2011-04-04,14.740000,14.860000,14.640000,14.700000,9.757791,6233000
