Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,9.200000,9.230000,9.190000,9.190000,6.678209,54000
2011-01-04,9.340000,9.440000,9.340000,9.340000,6.787212,9000
2011-01-05,9.350000,9.350000,9.000000,9.000000,6.540140,39600
2011-01-06,9.300000,9.480000,9.300000,9.480000,6.888947,162000
2011-01-07,9.770000,9.950000,9.600000,9.800000,7.121485,56700
2011-01-10,9.800000,9.800000,9.800000,9.800000,7.121485,21600
2011-01-11,9.570000,9.700000,9.470000,9.500000,6.903481,190800
2011-01-12,9.530000,9.530000,9.410000,9.500000,6.903481,823500
2011-01-13,9.510000,9.550000,9.440000,9.440000,6.859879,101700
2011-01-14,9.000000,9.300000,9.000000,9.170000,6.663675,26100
2011-01-17,9.170000,9.170000,9.170000,9.170000,6.663675,0
2011-01-18,9.080000,9.120000,9.080000,9.120000,6.627342,1800
2011-01-19,9.030000,9.120000,8.900000,9.020000,6.554674,126000
2011-01-20,9.010000,9.140000,9.010000,9.140000,6.641875,34200
2011-01-21,9.140000,9.140000,9.020000,9.030000,6.561940,359100
2011-01-24,9.000000,9.050000,9.000000,9.030000,6.561940,9900
2011-01-25,9.000000,9.030000,9.000000,9.030000,6.561940,30600
2011-01-26,9.100000,9.270000,9.000000,9.080000,6.598273,244800
2011-01-27,9.040000,9.140000,9.040000,9.140000,6.641875,50400
2011-01-28,9.140000,9.170000,9.040000,9.100000,6.612808,207000
2011-01-31,9.350000,9.350000,9.030000,9.050000,6.576474,47700
2011-02-01,8.990000,9.030000,8.990000,9.000000,6.540140,98100
2011-02-02,9.000000,9.100000,9.000000,9.030000,6.561940,72900
2011-02-07,9.080000,9.120000,9.070000,9.100000,6.612808,27900
2011-02-08,9.120000,9.120000,9.000000,9.050000,6.576474,150300
2011-02-09,9.000000,9.010000,8.910000,8.920000,6.482006,104400
2011-02-10,8.820000,8.860000,8.820000,8.820000,6.409337,4500
2011-02-11,8.220000,8.550000,8.220000,8.530000,6.198598,7200
2011-02-14,8.600000,8.600000,8.500000,8.500000,6.176799,24300
2011-02-15,8.530000,8.540000,8.410000,8.410000,6.111398,12600
2011-02-16,8.400000,8.480000,8.330000,8.330000,6.053262,24300
2011-02-17,8.260000,8.260000,8.140000,8.200000,5.958795,63900
2011-02-18,8.200000,8.220000,8.140000,8.180000,5.944260,132300
2011-02-21,7.960000,8.010000,7.680000,7.750000,5.631787,189000
2011-02-22,7.750000,7.750000,7.610000,7.750000,5.631787,52200
2011-02-23,7.600000,7.740000,7.600000,7.730000,5.617254,23400
2011-02-24,7.650000,7.750000,7.650000,7.680000,5.580920,23400
2011-02-25,7.700000,7.800000,7.700000,7.780000,5.653588,33300
2011-02-28,7.790000,8.000000,7.780000,7.950000,5.777123,161100
2011-03-01,7.890000,7.990000,7.890000,7.960000,5.784390,129600
2011-03-02,7.810000,8.150000,7.810000,8.150000,5.922459,24300
2011-03-03,8.240000,8.590000,8.240000,8.530000,6.198598,105300
2011-03-04,8.290000,8.550000,8.250000,8.300000,6.031461,29700
2011-03-07,8.650000,8.650000,8.150000,8.210000,5.966061,51300
2011-03-08,8.300000,8.300000,8.130000,8.200000,5.958795,36900
2011-03-09,8.170000,8.200000,8.140000,8.190000,5.951527,47700
2011-03-10,8.200000,8.250000,8.050000,8.070000,5.864325,30600
2011-03-11,8.090000,8.150000,7.970000,8.140000,5.915194,58500
2011-03-14,7.920000,8.030000,7.920000,7.980000,5.798925,26100
2011-03-15,7.980000,7.980000,7.860000,7.950000,5.777123,131400
2011-03-16,7.920000,7.940000,7.640000,7.720000,5.703247,105300
2011-03-17,7.690000,7.690000,7.220000,7.290000,5.385580,171000
2011-03-18,7.350000,7.510000,7.350000,7.420000,5.481619,117000
2011-03-21,7.490000,7.600000,7.490000,7.590000,5.607208,28800
2011-03-22,7.620000,7.790000,7.620000,7.740000,5.718022,54000
2011-03-23,7.840000,7.960000,7.800000,7.900000,5.836224,27900
2011-03-24,8.000000,8.100000,8.000000,8.100000,5.983976,13500
2011-03-25,8.100000,8.220000,8.100000,8.220000,6.072629,41400
2011-03-28,8.120000,8.120000,7.900000,8.000000,5.910101,19800
2011-03-29,8.080000,8.090000,8.070000,8.070000,5.961813,48600
2011-03-30,8.080000,8.220000,8.080000,8.220000,6.072629,23400
2011-03-31,8.300000,8.360000,8.280000,8.320000,6.146505,41400
2011-04-01,8.520000,8.540000,8.490000,8.540000,6.309031,54000
2011-04-04,8.790000,8.950000,8.790000,8.940000,6.604537,89100
2011-04-05,9.000000,9.020000,9.000000,9.020000,6.663639,114300
