Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,2.200000,2.230000,2.190000,2.220000,1.815474,72484000
2011-01-04,2.230000,2.250000,2.230000,2.230000,1.823652,75132000
2011-01-05,2.230000,2.240000,2.190000,2.190000,1.790941,76908000
2011-01-06,2.200000,2.220000,2.200000,2.220000,1.815474,38973000
2011-01-07,2.200000,2.250000,2.190000,2.220000,1.815474,87694000
2011-01-10,2.220000,2.230000,2.170000,2.170000,1.774585,72018000
2011-01-11,2.180000,2.200000,2.150000,2.170000,1.774585,79719000
2011-01-12,2.190000,2.220000,2.180000,2.200000,1.799118,64548000
2011-01-13,2.210000,2.220000,2.180000,2.190000,1.790941,51535000
2011-01-14,2.190000,2.220000,2.170000,2.200000,1.799118,55067000
2011-01-17,2.210000,2.220000,2.160000,2.170000,1.774585,53534000
2011-01-18,2.170000,2.210000,2.170000,2.190000,1.790941,48809000
2011-01-19,2.190000,2.220000,2.190000,2.190000,1.790941,60508000
2011-01-20,2.180000,2.190000,2.150000,2.160000,1.766407,81702000
2011-01-21,2.150000,2.180000,2.150000,2.150000,1.758229,55721000
2011-01-24,2.160000,2.180000,2.120000,2.120000,1.733696,62872000
2011-01-25,2.140000,2.150000,2.060000,2.070000,1.692807,161790000
2011-01-26,2.070000,2.090000,2.060000,2.070000,1.692807,77710000
2011-01-27,2.070000,2.090000,2.050000,2.060000,1.684629,71965000
2011-01-28,2.060000,2.060000,2.020000,2.040000,1.668273,101396000
2011-01-31,2.020000,2.030000,2.000000,2.020000,1.651917,63829000
2011-02-01,2.040000,2.050000,2.030000,2.050000,1.676451,41980000
2011-02-02,2.070000,2.130000,2.070000,2.130000,1.741874,73287000
2011-02-07,2.150000,2.160000,2.040000,2.060000,1.684629,168334000
2011-02-08,2.060000,2.090000,2.040000,2.090000,1.709162,99976000
2011-02-09,2.090000,2.100000,2.040000,2.070000,1.692807,110287000
2011-02-10,2.050000,2.080000,2.020000,2.020000,1.651917,145282000
2011-02-11,2.030000,2.060000,2.000000,2.030000,1.660095,114039000
2011-02-14,2.050000,2.060000,2.020000,2.020000,1.651917,95660000
2011-02-15,2.030000,2.040000,1.980000,1.990000,1.627384,170614000
2011-02-16,2.000000,2.060000,1.990000,2.040000,1.668273,124493000
2011-02-17,2.050000,2.050000,2.010000,2.020000,1.651917,61117000
2011-02-18,2.020000,2.040000,2.010000,2.010000,1.643740,90840000
2011-02-21,2.010000,2.030000,1.990000,2.000000,1.635562,69146000
2011-02-22,2.000000,2.000000,1.980000,1.980000,1.619206,102958000
2011-02-23,1.930000,1.990000,1.880000,1.980000,1.619206,357849000
2011-02-24,1.960000,1.980000,1.920000,1.920000,1.570140,84074000
2011-02-25,1.940000,1.970000,1.930000,1.950000,1.594673,70137000
2011-02-28,1.940000,1.950000,1.910000,1.910000,1.561962,75834000
2011-03-01,1.930000,1.970000,1.920000,1.960000,1.602851,81029000
2011-03-02,1.930000,1.950000,1.920000,1.930000,1.578317,69313000
2011-03-03,1.940000,2.000000,1.940000,1.950000,1.594673,92474000
2011-03-04,1.980000,1.990000,1.960000,1.990000,1.627384,59973000
2011-03-07,1.980000,2.000000,1.970000,1.980000,1.619206,48092000
