Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,7.290000,7.400000,7.270000,7.400000,5.243673,498000
2011-01-04,7.500000,7.610000,7.430000,7.610000,5.392479,2511000
2011-01-05,7.610000,7.630000,7.470000,7.480000,5.300360,1931000
2011-01-06,7.450000,7.460000,7.310000,7.380000,5.229501,1580000
2011-01-07,7.400000,7.410000,7.040000,7.240000,5.130295,2584000
2011-01-10,7.280000,7.370000,7.130000,7.150000,5.066521,2169000
2011-01-11,7.150000,7.340000,7.030000,7.320000,5.186984,1954000
2011-01-12,7.320000,7.360000,7.120000,7.190000,5.094866,1714000
2011-01-13,7.170000,7.360000,7.080000,7.320000,5.186984,1522000
2011-01-14,7.330000,7.400000,7.300000,7.390000,5.236585,1060000
2011-01-17,7.330000,7.410000,7.300000,7.350000,5.208242,1184000
2011-01-18,7.390000,7.530000,7.370000,7.510000,5.321619,1030000
2011-01-19,7.490000,7.540000,7.300000,7.300000,5.172812,1147000
2011-01-20,7.300000,7.300000,7.120000,7.140000,5.059435,1030000
2011-01-21,7.120000,7.250000,7.110000,7.140000,5.059435,1264000
2011-01-24,7.210000,7.280000,7.160000,7.190000,5.094866,957000
2011-01-25,7.290000,7.290000,7.250000,7.270000,5.151554,889000
2011-01-26,7.270000,7.330000,7.210000,7.240000,5.130295,872000
2011-01-27,7.200000,7.300000,7.200000,7.280000,5.158640,1126000
2011-01-28,7.280000,7.280000,7.210000,7.230000,5.123210,581000
2011-01-31,7.130000,7.200000,7.040000,7.040000,4.988575,1954000
2011-02-01,7.090000,7.300000,7.070000,7.300000,5.172812,1269000
2011-02-02,7.280000,7.290000,7.140000,7.180000,5.087779,1236000
2011-02-07,7.240000,7.270000,6.960000,7.000000,4.960231,4023000
2011-02-08,7.060000,7.060000,6.900000,6.900000,4.889370,2301000
2011-02-09,6.960000,7.060000,6.830000,6.830000,4.839768,3491000
2011-02-10,6.820000,6.820000,6.510000,6.600000,4.676789,5027000
2011-02-11,6.610000,6.730000,6.400000,6.580000,4.662616,3153000
2011-02-14,6.670000,6.900000,6.640000,6.870000,4.868111,2339000
2011-02-15,6.800000,6.920000,6.680000,6.690000,4.740563,2236000
2011-02-16,6.750000,6.790000,6.710000,6.750000,4.783081,1212000
2011-02-17,6.780000,6.830000,6.580000,6.640000,4.705134,2573000
2011-02-18,6.660000,6.740000,6.610000,6.640000,4.705134,2506000
2011-02-21,6.710000,6.720000,6.650000,6.690000,4.740563,3729000
2011-02-22,6.610000,6.630000,6.320000,6.390000,4.527981,3277000
2011-02-23,6.490000,6.550000,6.420000,6.530000,4.627187,2958000
2011-02-24,6.480000,6.560000,6.380000,6.380000,4.520896,2889000
2011-02-25,6.360000,6.640000,6.100000,6.600000,4.676789,5236000
2011-02-28,6.540000,6.850000,6.520000,6.850000,4.853940,2775000
2011-03-01,6.800000,6.950000,6.800000,6.870000,4.868111,2155000
2011-03-02,6.870000,6.990000,6.790000,6.810000,4.825596,2436000
2011-03-03,6.900000,6.940000,6.830000,6.840000,4.846854,1987000
2011-03-04,7.040000,7.210000,6.960000,7.100000,5.031090,2406000
2011-03-07,7.100000,7.130000,7.030000,7.130000,5.052350,1409000
2011-03-08,7.090000,7.110000,7.000000,7.060000,5.002747,3800000
2011-03-09,7.060000,7.080000,6.920000,6.980000,4.946058,1222000
2011-03-10,6.960000,6.970000,6.830000,6.900000,4.889370,1999000
2011-03-11,6.760000,6.970000,6.760000,6.940000,4.917714,2156000
2011-03-14,6.940000,6.940000,6.790000,6.830000,4.839768,1392000
2011-03-15,6.750000,6.780000,6.500000,6.650000,4.712218,2466000
2011-03-16,6.650000,6.700000,6.560000,6.650000,4.784162,1687000
2011-03-17,6.400000,6.530000,6.280000,6.460000,4.647471,2964000
2011-03-18,6.490000,6.750000,6.420000,6.750000,4.856104,4154000
2011-03-21,6.650000,6.850000,6.600000,6.770000,4.870492,1538000
2011-03-22,6.810000,6.880000,6.650000,6.700000,4.820132,2215000
2011-03-23,6.730000,6.850000,6.710000,6.820000,4.906464,1437000
2011-03-24,6.830000,7.050000,6.790000,6.950000,4.999988,2821000
2011-03-25,6.980000,7.250000,6.910000,7.200000,5.179844,1274000
2011-03-28,7.100000,7.170000,6.980000,7.170000,5.158260,1247000
2011-03-29,7.010000,7.060000,6.920000,7.050000,5.071930,2409000
2011-03-30,7.100000,7.140000,7.030000,7.080000,5.093513,1753000
2011-03-31,7.080000,7.080000,6.980000,7.000000,5.035960,2899000
2011-04-01,7.000000,7.040000,6.970000,7.000000,5.035960,2098000
2011-04-04,7.040000,7.050000,6.950000,7.020000,5.050349,3562000
2011-04-05,7.040000,7.080000,7.000000,7.050000,5.071930,1413000
2011-04-06,7.020000,7.080000,7.020000,7.050000,5.071930,1509000
2011-04-07,7.000000,7.000000,6.880000,6.930000,4.985600,2754000
2011-04-08,6.970000,7.050000,6.920000,7.020000,5.050349,1767000
2011-04-11,6.950000,7.050000,6.950000,7.050000,5.071930,2378000
2011-04-12,7.000000,7.050000,6.920000,7.000000,5.035960,2010000
2011-04-13,7.000000,7.150000,6.930000,7.050000,5.071930,2523000
2011-04-14,7.050000,7.200000,7.010000,7.200000,5.179844,1572000
2011-04-15,7.180000,7.230000,7.150000,7.210000,5.187037,4519000
2011-04-18,7.180000,7.210000,7.120000,7.140000,5.136678,1035000
2011-04-19,7.070000,7.120000,7.030000,7.090000,5.100708,1358000
2011-04-20,7.100000,7.150000,7.070000,7.100000,5.107902,1939000
2011-04-21,7.160000,7.240000,7.090000,7.170000,5.158260,1176000
2011-04-25,7.200000,7.270000,7.170000,7.240000,5.208620,292000
2011-04-26,7.180000,7.250000,7.140000,7.190000,5.172649,1283000
2011-04-27,7.150000,7.300000,7.150000,7.290000,5.244592,1323000
2011-04-28,7.300000,7.400000,7.200000,7.400000,5.323727,1724000
2011-04-29,7.450000,7.490000,7.370000,7.490000,5.388476,1629000
2011-05-03,7.490000,7.490000,7.280000,7.400000,5.323727,1990000
2011-05-04,7.430000,7.460000,7.360000,7.440000,5.352506,2609000
2011-05-05,7.370000,7.530000,7.340000,7.500000,5.395671,4866000
2011-05-06,7.400000,7.400000,7.270000,7.350000,5.287757,2077000
2011-05-09,7.350000,7.400000,7.290000,7.350000,5.287757,769000
2011-05-10,7.440000,7.440000,7.290000,7.390000,5.316534,754000
2011-05-11,7.390000,7.440000,7.330000,7.440000,5.352506,1069000
2011-05-12,7.430000,7.430000,7.260000,7.310000,5.258979,2788000
2011-05-13,7.310000,7.360000,7.270000,7.340000,5.280564,1182000
2011-05-16,7.340000,7.380000,7.300000,7.340000,5.280564,570000
2011-05-18,7.390000,7.510000,7.380000,7.420000,5.338117,2779000
2011-05-19,7.390000,7.420000,7.340000,7.420000,5.338117,2406000
2011-05-20,7.480000,7.500000,7.420000,7.480000,5.381282,2551000
2011-05-23,7.470000,7.470000,7.330000,7.360000,5.294951,1822000
2011-05-24,7.450000,7.480000,7.360000,7.410000,5.330923,744000
2011-05-25,7.460000,7.480000,7.360000,7.380000,5.309340,1650000
2011-05-26,7.390000,7.410000,7.380000,7.400000,5.323727,387000
2011-05-27,7.400000,7.470000,7.370000,7.400000,5.323727,567000
2011-05-30,7.480000,7.490000,7.410000,7.410000,5.330923,989000
2011-05-31,7.450000,7.480000,7.410000,7.410000,5.330923,1480000
2011-06-01,7.450000,7.500000,7.430000,7.450000,5.359699,861000
2011-06-02,7.450000,7.450000,7.370000,7.400000,5.323727,2097000
2011-06-03,7.450000,7.480000,7.350000,7.420000,5.338117,1796000
2011-06-06,7.300000,7.410000,7.300000,7.380000,5.309340,1409000
2011-06-07,7.480000,7.490000,7.350000,7.350000,5.287757,1948000
2011-06-08,7.410000,7.430000,7.380000,7.430000,5.345310,3250000
2011-06-09,7.420000,7.480000,7.390000,7.400000,5.323727,2957000
2011-06-10,7.400000,7.450000,7.330000,7.330000,5.273368,1630000
2011-06-13,7.330000,7.380000,7.290000,7.330000,5.273368,1331000
2011-06-14,7.310000,7.360000,7.270000,7.360000,5.294951,1626000
2011-06-15,7.310000,7.460000,7.290000,7.440000,5.352506,988000
2011-06-16,7.460000,7.470000,7.270000,7.340000,5.280564,2039000
2011-06-17,7.350000,7.450000,7.290000,7.290000,5.244592,3588000
2011-06-20,7.350000,7.380000,7.300000,7.320000,5.266174,1380000
2011-06-21,7.340000,7.340000,7.250000,7.280000,5.237397,2183000
2011-06-22,7.310000,7.330000,7.250000,7.300000,5.251786,1261000
2011-06-23,7.250000,7.300000,7.040000,7.070000,5.086320,3947000
2011-06-24,7.140000,7.140000,7.070000,7.100000,5.107902,3262000
2011-06-27,7.000000,7.060000,7.000000,7.050000,5.071930,1711000
2011-06-28,7.000000,7.060000,6.980000,7.060000,5.079124,5244000
2011-06-29,7.140000,7.140000,6.990000,7.050000,5.071930,2078000
2011-06-30,7.060000,7.200000,7.020000,7.120000,5.122290,2549000
2011-07-01,7.180000,7.250000,7.160000,7.200000,5.179844,2014000
2011-07-04,7.200000,7.350000,7.130000,7.260000,5.223009,1775000
2011-07-05,7.160000,7.240000,7.060000,7.060000,5.079124,2074000
2011-07-06,7.040000,7.040000,6.910000,6.960000,5.007183,2695000
2011-07-07,7.000000,7.040000,6.950000,7.000000,5.035960,1107000
2011-07-08,7.030000,7.110000,7.000000,7.030000,5.057542,1200000
2011-07-11,7.000000,7.010000,6.820000,6.900000,4.964016,2856000
2011-07-12,6.900000,6.910000,6.780000,6.860000,4.935241,1592000
2011-07-13,6.860000,6.900000,6.760000,6.800000,4.892076,828000
2011-07-14,6.760000,6.840000,6.730000,6.730000,4.841715,1347000
2011-07-15,6.690000,6.710000,6.510000,6.680000,4.805743,3244000
2011-07-18,6.680000,6.830000,6.630000,6.810000,4.899269,1797000
2011-07-19,6.760000,6.830000,6.620000,6.710000,4.827327,2104000
2011-07-20,6.790000,6.790000,6.620000,6.630000,4.769774,3248000
2011-07-21,6.650000,6.660000,6.540000,6.630000,4.769774,2827000
2011-07-22,6.680000,6.750000,6.650000,6.730000,4.841715,2762000
2011-07-25,6.710000,6.710000,6.590000,6.690000,4.812939,2249000
2011-07-26,6.650000,6.690000,6.610000,6.650000,4.784162,1797000
2011-07-27,6.610000,6.690000,6.600000,6.600000,4.748190,1482000
2011-07-28,6.640000,6.690000,6.620000,6.630000,4.769774,1232000
2011-07-29,6.650000,6.790000,6.630000,6.720000,4.834521,2488000
2011-08-01,6.730000,6.970000,6.730000,6.970000,5.014377,3948000
2011-08-02,6.900000,7.000000,6.900000,6.970000,5.014377,2244000
2011-08-03,6.820000,6.860000,6.740000,6.800000,4.892076,1837000
2011-08-04,6.800000,6.830000,6.710000,6.800000,4.892076,1913000
2011-08-05,6.600000,6.680000,6.500000,6.520000,4.690637,2147000
2011-08-08,6.070000,6.450000,6.000000,6.200000,4.460422,4014000
2011-08-10,6.200000,6.250000,5.840000,5.840000,4.201428,7145000
2011-08-11,5.880000,5.880000,5.450000,5.660000,4.071933,8182000
2011-08-12,5.780000,6.050000,5.730000,5.980000,4.302149,6379000
2011-08-15,5.940000,6.090000,5.940000,6.000000,4.316537,5551000
2011-08-16,6.100000,6.100000,5.910000,5.930000,4.266177,3663000
2011-08-17,5.900000,5.930000,5.750000,5.750000,4.178963,2580000
2011-08-18,5.690000,5.750000,5.620000,5.700000,4.142625,1962000
2011-08-19,5.520000,5.530000,5.310000,5.400000,3.924591,4249000
2011-08-22,5.220000,5.420000,5.160000,5.420000,3.939128,2762000
2011-08-23,5.430000,5.630000,5.290000,5.560000,4.040876,3977000
2011-08-24,5.570000,5.620000,5.300000,5.300000,3.851915,2474000
2011-08-25,5.420000,5.520000,5.400000,5.400000,3.924591,2127000
2011-08-26,5.320000,5.380000,5.230000,5.360000,3.895521,3641000
2011-08-29,5.430000,5.490000,5.360000,5.460000,3.968199,1812000
2011-08-31,5.590000,5.870000,5.550000,5.800000,4.215302,4575000
2011-09-01,5.790000,5.910000,5.680000,5.910000,4.295248,2201000
2011-09-02,5.820000,5.870000,5.730000,5.800000,4.215302,2319000
2011-09-05,5.760000,5.760000,5.670000,5.700000,4.142625,1637000
2011-09-06,5.650000,5.680000,5.560000,5.640000,4.099019,996000
2011-09-07,5.670000,5.800000,5.670000,5.770000,4.193499,1237000
2011-09-08,5.860000,5.870000,5.660000,5.740000,4.171696,791000
2011-09-09,5.720000,5.720000,5.570000,5.630000,4.091751,1179000
2011-09-12,5.550000,5.550000,5.360000,5.360000,3.895521,1743000
2011-09-13,5.380000,5.400000,5.140000,5.140000,3.735631,2599000
2011-09-14,5.180000,5.230000,4.980000,4.980000,3.619346,5247000
2011-09-15,5.070000,5.080000,4.860000,4.900000,3.561204,4007000
2011-09-16,4.980000,5.200000,4.970000,5.100000,3.706559,5129000
2011-09-19,5.190000,5.210000,4.960000,4.980000,3.619346,2476000
2011-09-20,4.960000,5.040000,4.900000,5.000000,3.633883,2636000
2011-09-21,5.050000,5.240000,4.960000,5.200000,3.779238,2371000
2011-09-22,5.020000,5.060000,4.840000,4.850000,3.524864,3575000
2011-09-23,4.810000,4.810000,4.420000,4.600000,3.343172,8513000
2011-09-26,4.580000,4.650000,4.240000,4.370000,3.176013,5350000
2011-09-27,4.460000,4.500000,4.410000,4.490000,3.263225,3980000
2011-09-28,4.480000,4.570000,4.450000,4.540000,3.299564,4634000
2011-09-29,4.470000,4.760000,4.400000,4.650000,3.379511,2579000
2011-09-30,4.700000,4.710000,4.480000,4.480000,3.255957,2514000
2011-10-03,4.480000,4.520000,4.180000,4.480000,3.255957,3035000
2011-10-04,4.280000,4.370000,4.170000,4.300000,3.125138,4300000
2011-10-05,4.300000,4.300000,4.180000,4.230000,3.074265,3876000
2011-10-06,4.280000,4.420000,4.210000,4.400000,3.197816,6144000
2011-10-07,4.420000,4.900000,4.330000,4.800000,3.488527,3841000
2011-10-10,4.830000,4.970000,4.550000,4.790000,3.481259,2652000
2011-10-11,4.850000,4.940000,4.750000,4.770000,3.466723,1442000
2011-10-12,4.680000,4.880000,4.620000,4.840000,3.517598,1101000
2011-10-13,4.890000,5.080000,4.800000,4.980000,3.619346,2581000
2011-10-14,4.960000,4.980000,4.660000,4.700000,3.415848,1667000
2011-10-17,4.770000,5.060000,4.760000,5.000000,3.633883,1858000
2011-10-18,4.820000,4.870000,4.700000,4.820000,3.503062,2174000
2011-10-19,4.880000,4.900000,4.770000,4.780000,3.473991,1876000
2011-10-20,4.790000,4.820000,4.600000,4.650000,3.379511,3354000
2011-10-21,4.650000,4.720000,4.600000,4.700000,3.415848,2163000
2011-10-24,4.730000,4.810000,4.650000,4.770000,3.466723,3035000
2011-10-25,4.790000,4.830000,4.730000,4.800000,3.488527,4547000
2011-10-27,4.800000,5.260000,4.790000,5.090000,3.699291,3998000
2011-10-28,5.210000,5.260000,5.040000,5.250000,3.815575,3553000
2011-10-31,5.170000,5.330000,5.170000,5.300000,3.851915,2892000
2011-11-01,5.150000,5.250000,5.150000,5.210000,3.786505,1444000
2011-11-02,5.020000,5.020000,4.810000,4.930000,3.583007,7655000
2011-11-03,4.900000,4.900000,4.770000,4.860000,3.532134,4472000
2011-11-04,4.910000,5.040000,4.890000,5.030000,3.655685,2727000
2011-11-08,4.950000,5.090000,4.920000,5.000000,3.633883,1664000
2011-11-09,5.020000,5.060000,4.890000,4.910000,3.568472,1963000
2011-11-10,4.660000,4.720000,4.560000,4.610000,3.350439,4670000
2011-11-11,4.640000,4.770000,4.600000,4.760000,3.459455,3476000
2011-11-14,4.940000,4.960000,4.850000,4.850000,3.524864,3690000
2011-11-15,4.840000,4.910000,4.800000,4.850000,3.524864,1268000
