Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,28.000000,28.200001,27.400000,28.080000,25.532818,39500
2011-01-04,28.120001,28.940001,28.120001,28.940001,26.314802,20000
2011-01-05,29.000000,29.000000,28.299999,28.299999,25.732864,192000
2011-01-06,28.799999,28.840000,28.660000,28.660000,26.060204,85000
2011-01-07,29.420000,29.420000,27.620001,27.660000,25.150919,135500
2011-01-10,28.180000,28.200001,27.340000,27.540001,25.041803,122000
2011-01-11,27.480000,27.480000,26.879999,27.280001,24.805387,207500
2011-01-12,27.200001,27.600000,27.200001,27.420000,24.932688,143500
2011-01-13,27.840000,27.940001,27.559999,27.799999,25.278221,116000
2011-01-14,28.080000,28.480000,27.799999,28.459999,25.878347,141000
2011-01-17,29.320000,29.379999,28.600000,28.600000,26.005650,78000
2011-01-18,28.459999,28.480000,27.600000,27.900000,25.369146,193500
2011-01-19,28.000000,28.040001,27.700001,27.799999,25.278221,140500
2011-01-20,28.000000,28.000000,27.500000,27.500000,25.005432,142500
2011-01-21,27.219999,27.799999,26.719999,27.080000,24.623531,388000
2011-01-24,27.340000,27.459999,27.120001,27.120001,24.659899,131500
2011-01-25,27.320000,27.520000,27.320000,27.520000,25.023619,52000
2011-01-26,27.520000,27.520000,27.240000,27.400000,24.914501,65000
2011-01-27,27.580000,27.600000,27.500000,27.580000,25.078176,92500
2011-01-28,27.600000,28.680000,27.559999,28.639999,26.042019,181000
2011-01-31,28.000000,28.360001,28.000000,28.100000,25.551004,205500
2011-02-01,28.180000,28.379999,28.180000,28.240000,25.678307,128500
2011-02-02,28.299999,28.740000,28.260000,28.740000,26.132948,162000
2011-02-07,29.000000,29.040001,28.020000,28.400000,25.823792,382500
2011-02-08,28.400000,28.820000,28.219999,28.820000,26.205690,304000
2011-02-09,28.379999,28.379999,28.139999,28.260000,25.696491,164500
2011-02-10,28.260000,28.260000,27.400000,27.480000,24.987246,262000
2011-02-11,27.400000,27.400000,26.780001,26.860001,24.423487,244500
2011-02-14,26.680000,26.980000,26.100000,26.980000,24.532600,171500
2011-02-15,26.980000,27.000000,26.700001,26.719999,24.296185,88500
2011-02-16,26.719999,26.860001,26.700001,26.780001,24.350744,86500
2011-02-17,26.700001,26.820000,26.600000,26.820000,24.387112,167500
2011-02-18,27.000000,27.639999,27.000000,27.540001,25.041803,82500
2011-02-21,27.860001,28.240000,27.820000,28.240000,25.678307,506500
