Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,2.890000,2.890000,2.850000,2.860000,1.977913,1018000
2011-01-04,2.880000,2.890000,2.830000,2.850000,1.970998,2185000
2011-01-05,2.870000,2.880000,2.860000,2.880000,1.991745,1685000
2011-01-06,2.900000,2.910000,2.870000,2.870000,1.984829,2346000
2011-01-07,2.860000,2.880000,2.850000,2.860000,1.977913,985000
2011-01-10,2.860000,2.890000,2.850000,2.860000,1.977913,1311000
2011-01-11,2.870000,2.890000,2.850000,2.890000,1.998660,1727000
2011-01-12,2.900000,2.910000,2.870000,2.870000,1.984829,1638000
2011-01-13,2.890000,2.890000,2.850000,2.850000,1.970998,1242000
2011-01-14,2.860000,2.900000,2.860000,2.900000,2.005576,1123000
2011-01-17,2.910000,2.950000,2.910000,2.920000,2.019408,2511000
2011-01-18,2.920000,2.940000,2.920000,2.940000,2.033240,857000
2011-01-19,2.950000,2.960000,2.940000,2.960000,2.047071,1476000
2011-01-20,2.970000,2.970000,2.900000,2.910000,2.012492,1162000
2011-01-21,2.930000,2.950000,2.900000,2.910000,2.012492,2403000
2011-01-24,2.930000,2.930000,2.860000,2.860000,1.977913,1640000
2011-01-25,2.880000,2.880000,2.810000,2.810000,1.943334,2539000
2011-01-26,2.870000,2.880000,2.840000,2.840000,1.964082,2311000
2011-01-27,2.870000,2.870000,2.800000,2.820000,1.950250,2797000
2011-01-28,2.830000,2.830000,2.810000,2.820000,1.950250,2125000
2011-01-31,2.830000,2.830000,2.770000,2.780000,1.922587,4508000
2011-02-01,2.800000,2.820000,2.780000,2.800000,1.936419,2563000
2011-02-02,2.800000,2.800000,2.750000,2.760000,1.908755,4709000
2011-02-07,2.760000,2.760000,2.640000,2.670000,1.846513,8519000
2011-02-08,2.690000,2.690000,2.610000,2.650000,1.832682,4802000
2011-02-09,2.660000,2.660000,2.600000,2.610000,1.805019,3369000
2011-02-10,2.640000,2.640000,2.600000,2.610000,1.805019,2916000
2011-02-11,2.660000,2.670000,2.570000,2.600000,1.798103,3691000
2011-02-14,2.600000,2.640000,2.580000,2.610000,1.805019,1683000
2011-02-15,2.630000,2.630000,2.590000,2.620000,1.811934,3064000
2011-02-16,2.640000,2.650000,2.590000,2.600000,1.798103,3778000
2011-02-17,2.630000,2.640000,2.620000,2.620000,1.811934,1480000
2011-02-18,2.640000,2.650000,2.620000,2.640000,1.825766,2316000
2011-02-21,2.640000,2.650000,2.600000,2.620000,1.811934,2351000
2011-02-22,2.620000,2.630000,2.570000,2.570000,1.777355,2856000
2011-02-23,2.590000,2.600000,2.570000,2.570000,1.777355,2200000
2011-02-24,2.580000,2.580000,2.530000,2.550000,1.763524,1260000
2011-02-25,2.540000,2.600000,2.540000,2.580000,1.784271,601000
2011-02-28,2.570000,2.590000,2.540000,2.550000,1.763524,1017000
2011-03-01,2.590000,2.650000,2.570000,2.610000,1.805019,2382000
2011-03-02,2.630000,2.650000,2.620000,2.630000,1.818851,2900000
2011-03-03,2.630000,2.650000,2.620000,2.640000,1.825766,1552000
2011-03-04,2.640000,2.680000,2.640000,2.660000,1.839597,1228000
2011-03-07,2.670000,2.670000,2.630000,2.650000,1.832682,2921000
2011-03-08,2.660000,2.660000,2.620000,2.630000,1.818851,2623000
2011-03-09,2.640000,2.640000,2.610000,2.630000,1.818851,1504000
2011-03-10,2.630000,2.640000,2.610000,2.620000,1.811934,961000
2011-03-11,2.620000,2.650000,2.620000,2.620000,1.811934,1016000
2011-03-14,2.620000,2.630000,2.600000,2.620000,1.811934,767000
2011-03-15,2.630000,2.630000,2.550000,2.580000,1.784271,2588000
2011-03-16,2.580000,2.600000,2.550000,2.550000,1.763524,1367000
2011-03-17,2.580000,2.590000,2.550000,2.550000,1.763524,1768000
2011-03-18,2.570000,2.570000,2.530000,2.530000,1.749692,1240000
2011-03-21,2.530000,2.570000,2.530000,2.570000,1.777355,1060000
2011-03-22,2.590000,2.650000,2.580000,2.590000,1.791187,2060000
2011-03-23,2.620000,2.630000,2.570000,2.580000,1.784271,1291000
2011-03-24,2.580000,2.580000,2.560000,2.570000,1.777355,1062000
