Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,8.490000,8.620000,8.470000,8.570000,5.778250,2722000
2011-01-04,8.620000,8.660000,8.600000,8.610000,5.805220,2408000
2011-01-05,8.620000,8.630000,8.510000,8.530000,5.751281,3878000
2011-01-06,8.540000,8.570000,8.430000,8.440000,5.690599,7853000
2011-01-07,8.500000,8.500000,8.430000,8.460000,5.704085,4036000
2011-01-10,8.450000,8.470000,8.360000,8.360000,5.636660,4875000
2011-01-11,8.360000,8.430000,8.330000,8.410000,5.670372,3156000
2011-01-12,8.410000,8.480000,8.400000,8.460000,5.704085,3495000
2011-01-13,8.480000,8.480000,8.390000,8.390000,5.656887,4065000
2011-01-14,8.390000,8.440000,8.370000,8.440000,5.690599,3679000
2011-01-17,8.450000,8.460000,8.360000,8.430000,5.683859,3230000
2011-01-18,8.430000,8.540000,8.390000,8.500000,5.731053,4104000
2011-01-19,8.510000,8.730000,8.510000,8.680000,5.852417,11191000
2011-01-20,8.680000,8.680000,8.520000,8.550000,5.764766,5188000
2011-01-21,8.560000,8.660000,8.540000,8.600000,5.798478,5600000
2011-01-24,8.650000,8.650000,8.520000,8.560000,5.771510,2049000
2011-01-25,8.610000,8.630000,8.560000,8.580000,5.784994,2310000
2011-01-26,8.580000,8.620000,8.540000,8.620000,5.811963,2570000
2011-01-27,8.620000,8.690000,8.570000,8.620000,5.811963,3180000
2011-01-28,8.640000,8.640000,8.530000,8.570000,5.778250,2308000
2011-01-31,8.500000,8.520000,8.460000,8.460000,5.704085,3738000
2011-02-01,8.460000,8.480000,8.380000,8.400000,5.663630,3931000
2011-02-02,8.450000,8.450000,8.420000,8.440000,5.690599,1957000
2011-02-07,8.440000,8.450000,8.350000,8.370000,5.670275,2794000
2011-02-08,8.360000,8.410000,8.320000,8.360000,5.663501,2129000
2011-02-09,8.380000,8.380000,8.300000,8.340000,5.649951,4154000
2011-02-10,8.400000,8.530000,8.330000,8.330000,5.643178,5353000
2011-02-11,8.350000,8.430000,8.280000,8.300000,5.622854,3881000
2011-02-14,8.320000,8.420000,8.320000,8.350000,5.656725,2039000
2011-02-15,8.350000,8.350000,8.220000,8.300000,5.622854,2775000
2011-02-16,8.260000,8.390000,8.240000,8.360000,5.663501,3569000
2011-02-17,8.360000,8.400000,8.310000,8.320000,5.636403,2168000
2011-02-18,8.300000,8.420000,8.300000,8.340000,5.649951,2545000
2011-02-21,8.320000,8.340000,8.260000,8.290000,5.616080,2230000
2011-02-22,8.220000,8.250000,8.120000,8.140000,5.514462,3554000
2011-02-23,8.140000,8.150000,8.040000,8.090000,5.480588,4847000
2011-02-24,8.030000,8.100000,7.970000,7.970000,5.399294,3218000
2011-02-25,7.970000,8.030000,7.960000,8.000000,5.419618,3342000
