Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,3.410000,3.420000,3.370000,3.380000,2.173132,1314000
2011-01-04,3.380000,3.400000,3.330000,3.350000,2.153844,2249000
2011-01-05,3.350000,3.370000,3.330000,3.370000,2.166703,1204000
2011-01-06,3.360000,3.380000,3.340000,3.360000,2.160274,1005000
2011-01-07,3.360000,3.380000,3.330000,3.340000,2.147415,1177000
2011-01-10,3.360000,3.360000,3.310000,3.310000,2.128127,1517000
2011-01-11,3.310000,3.320000,3.280000,3.280000,2.108839,2482000
2011-01-12,3.290000,3.310000,3.280000,3.290000,2.115268,2378000
2011-01-13,3.310000,3.340000,3.280000,3.340000,2.147415,2912000
2011-01-14,3.340000,3.370000,3.340000,3.370000,2.166703,2551000
2011-01-17,3.370000,3.400000,3.350000,3.400000,2.185992,1287000
2011-01-18,3.400000,3.400000,3.380000,3.400000,2.185992,926000
2011-01-19,3.400000,3.410000,3.340000,3.340000,2.147415,1946000
2011-01-20,3.320000,3.330000,3.290000,3.290000,2.115268,1971000
2011-01-21,3.310000,3.340000,3.290000,3.300000,2.121697,1927000
2011-01-24,3.320000,3.330000,3.290000,3.290000,2.115268,653000
2011-01-25,3.320000,3.320000,3.290000,3.290000,2.115268,636000
2011-01-26,3.290000,3.320000,3.280000,3.320000,2.134556,782000
2011-01-27,3.330000,3.340000,3.300000,3.310000,2.128127,1160000
2011-01-28,3.310000,3.320000,3.300000,3.320000,2.134556,1029000
2011-01-31,3.270000,3.290000,3.240000,3.240000,2.083121,5128000
2011-02-01,3.280000,3.280000,3.240000,3.240000,2.083121,1801000
2011-02-02,3.270000,3.280000,3.250000,3.270000,2.102409,811000
2011-02-07,3.270000,3.280000,3.250000,3.260000,2.095979,1078000
2011-02-08,3.250000,3.260000,3.240000,3.240000,2.083121,1034000
2011-02-09,3.240000,3.240000,3.200000,3.200000,2.057403,2691000
2011-02-10,3.200000,3.210000,3.140000,3.140000,2.018827,3301000
2011-02-11,3.140000,3.160000,3.110000,3.120000,2.005967,2544000
2011-02-14,3.130000,3.190000,3.130000,3.160000,2.031685,2472000
2011-02-15,3.160000,3.170000,3.150000,3.150000,2.025257,1442000
2011-02-16,3.180000,3.290000,3.180000,3.280000,2.108839,4925000
2011-02-17,3.260000,3.270000,3.240000,3.250000,2.089550,1432000
2011-02-18,3.260000,3.280000,3.260000,3.280000,2.108839,1467000
2011-02-21,3.270000,3.300000,3.260000,3.280000,2.108839,1985000
2011-02-22,3.250000,3.300000,3.240000,3.290000,2.115268,2219000
2011-02-23,3.290000,3.290000,3.200000,3.220000,2.070262,2612000
2011-02-24,3.200000,3.210000,3.150000,3.160000,2.031685,2623000
2011-02-25,3.170000,3.260000,3.170000,3.260000,2.095979,2248000
2011-02-28,3.200000,3.210000,3.180000,3.190000,2.050974,5256000
2011-03-01,3.200000,3.240000,3.190000,3.230000,2.076691,1778000
2011-03-02,3.190000,3.200000,3.170000,3.170000,2.038115,1435000
2011-03-03,3.170000,3.210000,3.170000,3.170000,2.038115,1937000
2011-03-04,3.200000,3.200000,3.170000,3.170000,2.038115,1119000
2011-03-07,3.170000,3.200000,3.170000,3.200000,2.057403,1533000
2011-03-08,3.190000,3.250000,3.180000,3.250000,2.089550,1498000
2011-03-09,3.250000,3.260000,3.210000,3.230000,2.076691,840000
2011-03-10,3.240000,3.240000,3.210000,3.220000,2.070262,520000
2011-03-11,3.230000,3.230000,3.190000,3.200000,2.057403,1511000
2011-03-14,3.200000,3.220000,3.190000,3.200000,2.057403,699000
2011-03-15,3.190000,3.190000,3.130000,3.130000,2.012398,2399000
2011-03-16,3.140000,3.170000,3.130000,3.150000,2.025257,1939000
2011-03-17,3.110000,3.130000,3.100000,3.110000,1.999539,1813000
2011-03-18,3.110000,3.140000,3.110000,3.120000,2.005967,2304000
2011-03-21,3.120000,3.140000,3.110000,3.130000,2.012398,2083000
2011-03-22,3.130000,3.130000,3.110000,3.120000,2.005967,3349000
2011-03-23,3.110000,3.150000,3.100000,3.150000,2.025257,2787000
2011-03-24,3.160000,3.170000,3.130000,3.170000,2.038115,1638000
2011-03-25,3.170000,3.190000,3.160000,3.180000,2.044545,1613000
2011-03-28,3.170000,3.180000,3.150000,3.150000,2.025257,1199000
2011-03-29,3.170000,3.210000,3.150000,3.200000,2.057403,1707000
2011-03-30,3.210000,3.270000,3.200000,3.270000,2.102409,4234000
2011-03-31,3.240000,3.270000,3.230000,3.260000,2.095979,5266000
2011-04-01,3.270000,3.270000,3.230000,3.240000,2.083121,2092000
2011-04-04,3.260000,3.270000,3.210000,3.210000,2.063833,2376000
2011-04-05,3.210000,3.250000,3.190000,3.250000,2.089550,1695000
2011-04-06,3.250000,3.270000,3.220000,3.260000,2.095979,1554000
2011-04-07,3.250000,3.280000,3.230000,3.280000,2.108839,1997000
2011-04-08,3.270000,3.290000,3.250000,3.270000,2.102409,1033000
2011-04-11,3.260000,3.290000,3.250000,3.280000,2.108839,1588000
2011-04-12,3.270000,3.280000,3.240000,3.240000,2.083121,2281000
2011-04-13,3.240000,3.280000,3.230000,3.250000,2.089550,2320000
2011-04-14,3.240000,3.270000,3.240000,3.240000,2.083121,1324000
2011-04-15,3.250000,3.260000,3.230000,3.240000,2.083121,1614000
2011-04-18,3.240000,3.260000,3.230000,3.250000,2.089550,1177000
2011-04-19,3.240000,3.250000,3.230000,3.240000,2.083121,1380000
2011-04-20,3.250000,3.280000,3.240000,3.280000,2.108839,1826000
2011-04-21,3.270000,3.310000,3.270000,3.280000,2.158524,2586000
2011-04-25,3.210000,3.210000,3.180000,3.180000,2.142021,1490000
2011-04-26,3.180000,3.180000,3.140000,3.150000,2.121814,2279000
2011-04-27,3.170000,3.190000,3.140000,3.180000,2.142021,3220000
2011-04-28,3.200000,3.210000,3.140000,3.140000,2.115078,3045000
2011-04-29,3.160000,3.160000,3.130000,3.150000,2.121814,3569000
2011-05-03,3.150000,3.150000,3.130000,3.140000,2.115078,2421000
