Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,5.180000,5.210000,5.170000,5.170000,3.933529,1628000
2011-01-04,5.210000,5.220000,5.180000,5.200000,3.956353,1932000
2011-01-05,5.200000,5.200000,5.150000,5.200000,3.956353,1814000
2011-01-06,5.230000,5.240000,5.060000,5.190000,3.948745,5324000
2011-01-07,5.160000,5.170000,5.110000,5.130000,3.903095,1910000
2011-01-10,5.120000,5.140000,5.110000,5.110000,3.887878,2704000
2011-01-11,5.110000,5.180000,5.100000,5.150000,3.918312,3552000
2011-01-12,5.160000,5.180000,5.130000,5.180000,3.941137,2290000
2011-01-13,5.170000,5.170000,5.110000,5.140000,3.910704,2342000
2011-01-14,5.110000,5.130000,5.060000,5.080000,3.865053,4163000
2011-01-17,5.080000,5.100000,5.030000,5.040000,3.834619,3108000
2011-01-18,5.080000,5.110000,5.060000,5.110000,3.887878,2094000
2011-01-19,5.100000,5.200000,5.090000,5.190000,3.948745,3297000
2011-01-20,5.180000,5.190000,5.120000,5.180000,3.941137,3479000
2011-01-21,5.170000,5.200000,5.110000,5.140000,3.910704,2578000
2011-01-24,5.150000,5.160000,5.080000,5.100000,3.880270,2314000
2011-01-25,5.100000,5.150000,5.070000,5.070000,3.857445,2136000
2011-01-26,5.070000,5.130000,5.060000,5.110000,3.887878,2792000
2011-01-27,5.100000,5.320000,5.100000,5.240000,3.986787,8251000
2011-01-28,5.250000,5.300000,5.230000,5.280000,4.017221,2770000
2011-01-31,5.250000,5.250000,5.130000,5.160000,3.925920,4567000
2011-02-01,5.150000,5.190000,5.110000,5.140000,3.910704,1968000
2011-02-02,5.220000,5.240000,5.170000,5.220000,3.971570,1627000
2011-02-07,5.230000,5.300000,5.230000,5.270000,4.009612,2838000
2011-02-08,5.260000,5.260000,5.180000,5.180000,3.941137,2613000
2011-02-09,5.180000,5.210000,5.130000,5.140000,3.910704,4436000
2011-02-10,5.120000,5.170000,5.000000,5.010000,3.811795,5492000
2011-02-11,4.980000,5.010000,4.820000,4.840000,3.682453,8653000
2011-02-14,4.900000,4.990000,4.900000,4.950000,3.766144,3617000
2011-02-15,4.980000,4.990000,4.830000,4.900000,3.728102,3670000
2011-02-16,4.870000,4.930000,4.840000,4.890000,3.720494,5449000
2011-02-17,4.890000,4.950000,4.890000,4.940000,3.758536,3212000
2011-02-18,4.950000,5.050000,4.950000,5.000000,3.804186,4595000
2011-02-21,4.980000,4.980000,4.880000,4.890000,3.720494,4802000
2011-02-22,4.830000,4.840000,4.740000,4.830000,3.674843,3984000
2011-02-23,4.830000,4.880000,4.770000,4.820000,3.667235,3575000
2011-02-24,4.820000,4.910000,4.800000,4.830000,3.674843,3270000
2011-02-25,4.840000,4.900000,4.840000,4.900000,3.728102,2114000
2011-02-28,4.810000,4.860000,4.760000,4.760000,3.621586,6654000
2011-03-01,4.820000,4.930000,4.800000,4.930000,3.750928,4865000
2011-03-02,4.900000,4.970000,4.870000,4.910000,3.735710,3714000
2011-03-03,4.990000,5.030000,4.960000,4.960000,3.773753,3643000
2011-03-04,5.020000,5.070000,5.010000,5.040000,3.834619,3670000
2011-03-07,5.050000,5.150000,5.040000,5.120000,3.895487,2747000
2011-03-08,5.040000,5.210000,5.030000,5.210000,3.963962,5125000
2011-03-09,5.210000,5.220000,5.150000,5.180000,3.941137,1521000
2011-03-10,5.140000,5.150000,5.080000,5.130000,3.903095,1611000
2011-03-11,5.030000,5.080000,4.980000,4.980000,3.788970,3647000
2011-03-14,5.000000,5.000000,4.950000,4.970000,3.781362,2160000
2011-03-15,4.900000,4.940000,4.760000,4.820000,3.667235,5729000
2011-03-16,4.870000,4.920000,4.840000,4.890000,3.720494,3632000
2011-03-17,4.800000,4.880000,4.800000,4.840000,3.682453,2677000
2011-03-18,4.870000,4.900000,4.800000,4.810000,3.659627,2692000
2011-03-21,4.860000,4.900000,4.830000,4.870000,3.705278,2569000
2011-03-22,4.920000,5.000000,4.900000,4.970000,3.781362,4588000
2011-03-23,4.920000,5.020000,4.920000,5.000000,3.804186,3408000
