Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,3.070000,3.080000,3.060000,3.070000,1.895104,4530000
2011-01-04,3.080000,3.090000,3.070000,3.070000,1.895104,10104000
2011-01-05,3.060000,3.070000,3.050000,3.070000,1.895104,8972000
2011-01-06,3.070000,3.090000,3.050000,3.080000,1.901278,10472000
2011-01-07,3.070000,3.080000,3.050000,3.060000,1.888931,11335000
2011-01-10,3.060000,3.070000,3.050000,3.050000,1.882759,11499000
2011-01-11,3.050000,3.080000,3.040000,3.070000,1.895104,10222000
2011-01-12,3.070000,3.110000,3.060000,3.090000,1.907451,18675000
2011-01-13,3.090000,3.090000,3.070000,3.090000,1.907451,10020000
2011-01-14,3.090000,3.100000,3.080000,3.100000,1.913624,11546000
2011-01-17,3.100000,3.100000,3.070000,3.090000,1.907451,6751000
2011-01-18,3.080000,3.100000,3.070000,3.090000,1.907451,6724000
2011-01-19,3.080000,3.090000,3.060000,3.060000,1.888931,10351000
2011-01-20,3.060000,3.070000,3.040000,3.040000,1.876586,11622000
2011-01-21,3.050000,3.050000,3.030000,3.040000,1.876586,13769000
2011-01-24,3.040000,3.050000,3.030000,3.030000,1.870412,4818000
2011-01-25,3.050000,3.080000,3.040000,3.070000,1.895104,17526000
2011-01-26,3.070000,3.140000,3.060000,3.140000,1.938315,27137000
2011-01-27,3.130000,3.140000,3.100000,3.110000,1.919797,16645000
2011-01-28,3.100000,3.160000,3.100000,3.160000,1.950662,24960000
2011-01-31,3.140000,3.150000,3.100000,3.100000,1.913624,26956000
2011-02-01,3.100000,3.100000,3.060000,3.060000,1.888931,20981000
2011-02-02,3.070000,3.100000,3.060000,3.100000,1.913624,7541000
2011-02-07,3.110000,3.130000,3.080000,3.110000,1.919797,16790000
2011-02-08,3.120000,3.120000,3.090000,3.120000,1.925970,10652000
2011-02-09,3.110000,3.120000,3.050000,3.090000,1.907451,27111000
2011-02-10,3.070000,3.080000,3.030000,3.050000,1.882759,17980000
2011-02-11,3.040000,3.080000,3.030000,3.040000,1.876586,24671000
2011-02-14,3.060000,3.080000,3.040000,3.040000,1.876586,19858000
