Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,18.299999,18.580000,18.299999,18.559999,14.269500,2658000
2011-01-04,18.660000,18.760000,18.660000,18.760000,14.423267,3110000
2011-01-05,18.799999,18.840000,18.719999,18.840000,14.484769,3932000
2011-01-06,18.860001,19.379999,18.840000,19.240000,14.792304,6594000
2011-01-07,19.240000,19.440001,19.100000,19.440001,14.946070,5834000
2011-01-10,19.420000,19.420000,19.219999,19.260000,14.807680,3089000
2011-01-11,19.240000,19.240000,19.059999,19.160000,14.730797,2949000
2011-01-12,19.160000,19.320000,19.139999,19.180000,14.746177,1729000
2011-01-13,19.240000,19.280001,19.139999,19.219999,14.776930,1139000
2011-01-14,19.100000,19.160000,18.879999,19.160000,14.730797,2176000
2011-01-17,19.260000,19.280001,19.059999,19.260000,14.807680,1600000
2011-01-18,19.200001,19.379999,19.180000,19.379999,14.899940,2157000
2011-01-19,19.340000,19.480000,19.320000,19.480000,14.976821,2662000
2011-01-20,19.340000,19.440001,19.260000,19.340000,14.869185,2327000
2011-01-21,19.400000,19.400000,19.200001,19.299999,14.838431,3258000
2011-01-24,19.400000,19.500000,19.340000,19.459999,14.961445,2917000
2011-01-25,19.559999,19.559999,19.420000,19.480000,14.976821,2891000
2011-01-26,19.500000,19.900000,19.459999,19.860001,15.268977,4453000
2011-01-27,19.860001,19.959999,19.799999,19.860001,15.268977,3022000
2011-01-28,19.879999,19.980000,19.840000,19.980000,15.361238,2858000
2011-01-31,19.879999,19.900000,19.760000,19.799999,15.222850,4754000
2011-02-01,19.900000,19.920000,19.780001,19.900000,15.299732,2720000
2011-02-02,19.959999,19.959999,19.799999,19.900000,15.299732,1516000
2011-02-07,19.940001,19.959999,19.600000,19.700001,15.145964,2683000
2011-02-08,19.799999,19.799999,19.400000,19.580000,15.053705,2320000
2011-02-09,19.459999,19.520000,19.139999,19.240000,14.792304,3414000
2011-02-10,19.100000,19.200001,18.740000,18.820000,14.469398,4657000
2011-02-11,18.860001,18.900000,18.600000,18.600000,14.300250,3827000
2011-02-14,18.680000,18.980000,18.639999,18.920000,14.546280,3275000
2011-02-15,18.980000,18.980000,18.620001,18.900000,14.530899,1840000
2011-02-16,18.760000,18.879999,18.600000,18.860001,14.500145,3564000
2011-02-17,18.660000,18.900000,18.660000,18.719999,14.392510,2066000
2011-02-18,18.719999,18.879999,18.719999,18.799999,14.454016,2122000
2011-02-21,18.620001,18.639999,18.379999,18.440001,14.177239,3395000
2011-02-22,18.260000,18.299999,18.160000,18.219999,14.008095,1887000
2011-02-23,18.219999,18.360001,18.160000,18.320000,14.084977,2893000
2011-02-24,18.219999,18.320000,18.000000,18.000000,13.838952,2966000
2011-02-25,18.000000,18.540001,18.000000,18.240000,14.023471,3479000
2011-02-28,18.020000,18.299999,18.000000,18.059999,13.885077,7638000
2011-03-01,18.240000,18.440001,18.160000,18.400000,14.146483,2473000
2011-03-02,18.299999,18.420000,18.240000,18.360001,14.115732,1965000
2011-03-03,18.360001,18.480000,18.240000,18.240000,14.023471,2443000
2011-03-04,18.400000,18.760000,18.379999,18.500000,14.223368,2569000
2011-03-07,18.480000,18.860001,18.420000,18.600000,14.300250,1871000
2011-03-08,18.700001,18.959999,18.559999,18.959999,14.577031,1390000
2011-03-09,18.980000,18.980000,18.719999,18.780001,14.438641,2444000
2011-03-10,18.879999,18.920000,18.719999,18.840000,14.484769,2596000
2011-03-11,18.760000,18.879999,18.620001,18.740000,14.407886,3201000
2011-03-14,18.799999,18.799999,18.559999,18.600000,14.300250,1594000
2011-03-15,18.459999,18.480000,18.100000,18.260000,14.038848,3834000
2011-03-16,18.260000,18.420000,18.180000,18.219999,14.008095,3973000
2011-03-17,18.180000,18.219999,18.100000,18.120001,13.931212,1395000
2011-03-18,18.280001,18.280001,18.059999,18.120001,13.931212,2070000
2011-03-21,18.240000,18.340000,18.200001,18.280001,14.054229,1302000
2011-03-22,18.200001,18.320000,18.180000,18.320000,14.084977,1666000
2011-03-23,18.299999,18.400000,18.280001,18.320000,14.084977,2201000
2011-03-24,18.280001,18.580000,18.219999,18.540001,14.254120,1210000
2011-03-25,18.580000,18.760000,18.540001,18.580000,14.284875,2010000
2011-03-28,18.480000,18.680000,18.440001,18.520000,14.238746,1402000
2011-03-29,18.620001,18.620001,18.420000,18.540001,14.254120,1470000
2011-03-30,18.580000,19.040001,18.580000,18.820000,14.469398,4347000
2011-03-31,18.920000,19.000000,18.680000,18.799999,14.454016,5457000
2011-04-01,18.799999,19.000000,18.760000,18.980000,14.592409,2875000
2011-04-04,19.000000,19.100000,18.879999,19.020000,14.623161,4296000
2011-04-05,18.840000,19.040001,18.840000,18.940001,14.561652,1459000
2011-04-06,18.879999,19.100000,18.860001,19.100000,14.684669,2458000
2011-04-07,19.180000,19.639999,19.120001,19.620001,15.084463,8831000
2011-04-08,19.559999,19.559999,19.379999,19.520000,15.007576,5156000
2011-04-11,19.400000,19.459999,19.320000,19.379999,14.899940,2845000
2011-04-12,19.280001,19.459999,19.200001,19.400000,14.915317,2725000
2011-04-13,19.500000,19.639999,19.320000,19.600000,15.069087,1883000
2011-04-14,19.400000,19.700001,19.400000,19.639999,15.099838,1365000
2011-04-15,19.760000,19.760000,19.500000,19.580000,15.053705,1722000
2011-04-18,19.580000,19.680000,19.340000,19.559999,15.038327,1692000
2011-04-19,19.480000,19.480000,19.280001,19.379999,14.899940,2219000
2011-04-20,19.639999,19.660000,19.400000,19.660000,15.115212,2332000
2011-04-21,19.600000,19.920000,19.600000,19.920000,15.315109,4325000
2011-04-25,19.940001,19.940001,19.840000,19.900000,15.299732,867000
2011-04-26,19.799999,19.879999,19.700001,19.879999,15.284349,1595000
2011-04-27,19.980000,20.020000,19.680000,19.799999,15.222850,3369000
2011-04-28,19.959999,20.000000,19.760000,19.959999,15.345860,3693000
2011-04-29,19.920000,19.920000,19.580000,19.620001,15.084463,4399000
2011-05-03,19.620001,19.680000,19.540001,19.580000,15.053705,1836000
2011-05-04,19.520000,19.600000,19.340000,19.440001,14.946070,3674000
2011-05-05,19.059999,19.120001,19.000000,19.100000,14.760598,4365000
2011-05-06,19.059999,19.059999,18.799999,18.799999,14.528752,3211000
2011-05-09,18.879999,19.200001,18.879999,18.980000,14.667861,2605000
2011-05-10,19.080000,19.400000,18.959999,19.379999,14.976982,1997000
2011-05-11,19.480000,19.580000,19.420000,19.559999,15.116084,3261000
2011-05-12,19.400000,19.400000,19.020000,19.020000,14.698772,1743000
2011-05-13,19.200001,19.500000,19.100000,19.500000,15.069718,1323000
2011-05-16,19.320000,19.360001,19.100000,19.240000,14.868788,1562000
2011-05-18,19.299999,19.500000,19.299999,19.500000,15.069718,2780000
2011-05-19,19.620001,19.700001,19.540001,19.660000,15.193367,3806000
2011-05-20,19.580000,19.660000,19.420000,19.440001,15.023351,994000
2011-05-23,19.160000,19.219999,19.040001,19.040001,14.714227,2038000
2011-05-24,19.040001,19.260000,19.040001,19.120001,14.776055,1375000
2011-05-25,19.120001,19.160000,19.020000,19.080000,14.745136,2633000
2011-05-26,19.139999,19.280001,19.080000,19.260000,14.884247,1114000
2011-05-27,19.340000,19.580000,19.260000,19.459999,15.038806,2680000
2011-05-30,19.600000,19.600000,19.280001,19.280001,14.899703,2058000
2011-05-31,19.340000,19.559999,19.299999,19.440001,15.023351,3488000
2011-06-01,19.440001,19.520000,19.000000,19.400000,14.992440,2536000
2011-06-02,19.100000,19.400000,19.100000,19.379999,14.976982,720000
2011-06-03,19.400000,19.480000,19.299999,19.480000,15.054262,1908000
2011-06-06,19.340000,19.400000,19.139999,19.200001,14.837878,1906000
2011-06-07,19.139999,19.240000,19.040001,19.200001,14.837878,2061000
2011-06-08,19.059999,19.180000,19.040001,19.180000,14.822424,2795000
2011-06-09,19.160000,19.240000,19.120001,19.139999,14.791507,1759000
2011-06-10,19.240000,19.320000,19.020000,19.020000,14.698772,2015000
2011-06-13,19.000000,19.080000,18.940001,18.940001,14.636946,3120000
2011-06-14,19.040001,19.160000,18.920000,18.940001,14.636946,2198000
2011-06-15,19.040001,19.100000,18.940001,18.959999,14.652403,1397000
