Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,4.800000,4.830000,4.760000,4.780000,3.805559,457000
2011-01-04,4.770000,4.800000,4.760000,4.800000,3.821481,462000
2011-01-05,4.820000,4.820000,4.770000,4.820000,3.837405,646000
2011-01-06,4.820000,4.850000,4.810000,4.850000,3.861289,938000
2011-01-07,4.850000,4.880000,4.810000,4.870000,3.877212,956000
2011-01-10,4.870000,4.870000,4.810000,4.840000,3.853328,474000
2011-01-11,4.840000,4.990000,4.830000,4.990000,3.972749,1710000
2011-01-12,5.000000,5.050000,4.950000,5.010000,3.988672,2204000
2011-01-13,5.020000,5.050000,5.010000,5.040000,4.012555,1360000
2011-01-14,4.990000,5.020000,4.900000,5.000000,3.980710,3260000
2011-01-17,5.050000,5.070000,5.010000,5.050000,4.020518,1949000
2011-01-18,5.050000,5.090000,5.030000,5.070000,4.036440,1247000
2011-01-19,5.080000,5.090000,5.000000,5.090000,4.052362,936000
2011-01-20,5.040000,5.040000,4.930000,4.930000,3.924979,2211000
2011-01-21,4.910000,4.930000,4.830000,4.830000,3.845366,1938000
2011-01-24,4.860000,4.880000,4.830000,4.830000,3.845366,430000
2011-01-25,4.880000,4.880000,4.750000,4.810000,3.829443,854000
2011-01-26,4.810000,4.930000,4.790000,4.910000,3.909057,576000
2011-01-27,4.850000,4.890000,4.830000,4.860000,3.869250,485000
2011-01-28,4.830000,4.840000,4.790000,4.840000,3.853328,553000
2011-01-31,4.790000,4.830000,4.740000,4.740000,3.773713,1371000
2011-02-01,4.720000,4.800000,4.720000,4.800000,3.821481,855000
2011-02-02,4.830000,5.000000,4.770000,4.990000,3.972749,1178000
2011-02-07,5.030000,5.040000,4.990000,5.000000,3.980710,990000
2011-02-08,4.920000,4.930000,4.850000,4.890000,3.893134,774000
2011-02-09,4.840000,4.930000,4.770000,4.810000,3.829443,972000
2011-02-10,4.780000,4.790000,4.670000,4.670000,3.717983,1315000
2011-02-11,4.650000,4.660000,4.500000,4.540000,3.614485,1370000
2011-02-14,4.540000,4.600000,4.530000,4.580000,3.646330,666000
2011-02-15,4.590000,4.600000,4.460000,4.510000,3.590600,600000
2011-02-16,4.470000,4.570000,4.470000,4.560000,3.630407,523000
2011-02-17,4.520000,4.550000,4.490000,4.530000,3.606524,433000
2011-02-18,4.580000,4.590000,4.520000,4.520000,3.598562,458000
2011-02-21,4.480000,4.480000,4.420000,4.420000,3.518948,583000
2011-02-22,4.340000,4.350000,4.270000,4.280000,3.407488,765000
2011-02-23,4.300000,4.400000,4.290000,4.380000,3.487103,1967000
2011-02-24,4.330000,4.430000,4.320000,4.400000,3.503025,1034000
2011-02-25,4.360000,4.510000,4.360000,4.510000,3.590600,591000
2011-02-28,4.430000,4.480000,4.420000,4.460000,3.550794,2187000
2011-03-01,4.480000,4.640000,4.480000,4.600000,3.662253,659000
2011-03-02,4.510000,4.640000,4.500000,4.600000,3.662253,842000
2011-03-03,4.700000,4.800000,4.670000,4.670000,3.717983,1362000
2011-03-04,4.760000,4.760000,4.690000,4.700000,3.741867,598000
2011-03-07,4.650000,4.730000,4.630000,4.640000,3.694099,773000
2011-03-08,4.650000,4.720000,4.640000,4.690000,3.733906,790000
2011-03-09,4.760000,4.820000,4.720000,4.790000,3.813520,868000
2011-03-10,4.800000,4.800000,4.740000,4.800000,3.821481,515000
2011-03-11,4.770000,4.780000,4.710000,4.760000,3.789636,1144000
2011-03-14,4.760000,4.790000,4.740000,4.780000,3.805559,711000
2011-03-15,4.780000,4.780000,4.710000,4.710000,3.749829,2891000
2011-03-16,4.750000,4.770000,4.730000,4.760000,3.789636,1342000
2011-03-17,4.680000,4.730000,4.670000,4.720000,3.757790,1120000
2011-03-18,4.750000,4.750000,4.560000,4.590000,3.654292,3851000
2011-03-21,4.580000,4.640000,4.550000,4.620000,3.678176,1478000
2011-03-22,4.620000,4.630000,4.590000,4.630000,3.686137,845000
2011-03-23,4.600000,4.660000,4.590000,4.660000,3.710021,1045000
2011-03-24,4.660000,4.710000,4.630000,4.680000,3.725945,1060000
2011-03-25,4.680000,4.750000,4.680000,4.750000,3.781674,824000
2011-03-28,4.700000,4.800000,4.700000,4.770000,3.797598,951000
2011-03-29,4.770000,4.800000,4.730000,4.780000,3.805559,756000
2011-03-30,4.810000,4.810000,4.770000,4.800000,3.821481,1445000
2011-03-31,4.820000,4.860000,4.750000,4.750000,3.781674,3151000
2011-04-01,4.770000,4.830000,4.770000,4.800000,3.821481,1303000
2011-04-04,4.800000,4.880000,4.790000,4.880000,3.885173,655000
2011-04-05,4.890000,4.910000,4.870000,4.880000,3.885173,673000
