Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,9.280000,9.340000,9.280000,9.300000,5.235507,137000
2011-01-04,9.350000,9.400000,9.340000,9.380000,5.280544,495000
2011-01-05,9.410000,9.510000,9.390000,9.450000,5.319950,636000
2011-01-06,9.550000,9.560000,9.480000,9.480000,5.336839,280000
2011-01-07,9.550000,9.550000,9.490000,9.510000,5.353728,328000
2011-01-10,9.540000,9.610000,9.540000,9.550000,5.376246,413000
2011-01-11,9.620000,9.640000,9.510000,9.630000,5.421283,322000
2011-01-12,9.630000,9.990000,9.630000,9.990000,5.623948,1218000
2011-01-13,10.000000,10.020000,9.850000,9.980000,5.618318,534000
2011-01-14,9.880000,9.960000,9.830000,9.910000,5.578912,191000
2011-01-17,9.970000,9.970000,9.920000,9.940000,5.595799,239000
2011-01-18,9.990000,9.990000,9.920000,9.950000,5.601429,122000
2011-01-19,9.970000,9.980000,9.900000,9.900000,5.573281,225000
2011-01-20,9.900000,9.920000,9.840000,9.860000,5.550764,193000
2011-01-21,9.770000,9.770000,9.710000,9.750000,5.488838,115000
2011-01-24,9.700000,9.770000,9.670000,9.700000,5.460690,148000
2011-01-25,9.710000,9.740000,9.670000,9.700000,5.460690,141000
2011-01-26,9.660000,9.700000,9.660000,9.670000,5.443802,254000
2011-01-27,9.680000,9.760000,9.680000,9.690000,5.455061,334000
2011-01-28,9.640000,9.710000,9.640000,9.680000,5.449431,165000
2011-01-31,9.640000,9.750000,9.620000,9.690000,5.455061,365000
2011-02-01,9.670000,9.740000,9.670000,9.730000,5.477579,563000
2011-02-02,9.750000,9.770000,9.730000,9.770000,5.500098,186000
2011-02-07,9.800000,9.870000,9.700000,9.700000,5.460690,211000
2011-02-08,9.800000,9.800000,9.710000,9.770000,5.500098,100000
2011-02-09,9.730000,9.730000,9.520000,9.540000,5.370617,432000
2011-02-10,9.510000,9.550000,9.320000,9.370000,5.274914,470000
2011-02-11,9.350000,9.370000,9.300000,9.310000,5.241138,362000
2011-02-14,9.320000,9.430000,9.310000,9.430000,5.308692,248000
2011-02-15,9.460000,9.460000,9.290000,9.300000,5.235507,276000
2011-02-16,9.250000,9.380000,9.250000,9.340000,5.258026,321000
2011-02-17,9.410000,9.560000,9.410000,9.420000,5.303062,579000
2011-02-18,9.420000,9.440000,9.360000,9.380000,5.280544,314000
2011-02-21,9.370000,9.380000,9.270000,9.280000,5.224249,263000
2011-02-22,9.290000,9.350000,9.220000,9.260000,5.212989,472000
2011-02-23,9.260000,9.260000,9.200000,9.230000,5.196099,542000
2011-02-24,9.330000,9.440000,9.300000,9.300000,5.235507,463000
2011-02-25,9.310000,9.470000,9.310000,9.450000,5.319950,940000
2011-02-28,9.450000,9.490000,9.420000,9.460000,5.325581,451000
2011-03-01,9.540000,9.650000,9.540000,9.630000,5.421283,784000
2011-03-02,9.630000,9.630000,9.550000,9.560000,5.381877,426000
2011-03-03,9.550000,9.630000,9.430000,9.470000,5.331210,286000
2011-03-04,9.590000,9.590000,9.290000,9.340000,5.258026,799000
2011-03-07,9.380000,9.440000,9.370000,9.400000,5.291803,522000
2011-03-08,9.400000,9.420000,9.360000,9.400000,5.291803,481000
2011-03-09,9.400000,9.420000,9.360000,9.420000,5.303062,483000
2011-03-10,9.390000,9.430000,9.370000,9.410000,5.297431,330000
2011-03-11,9.360000,9.380000,9.300000,9.310000,5.241138,205000
2011-03-14,9.360000,9.360000,9.310000,9.330000,5.252396,300000
2011-03-15,9.330000,9.330000,8.980000,9.050000,5.094767,569000
2011-03-16,9.100000,9.160000,9.040000,9.160000,5.156693,434000
2011-03-17,9.100000,9.100000,8.940000,8.960000,5.044101,576000
2011-03-18,8.980000,9.050000,8.950000,8.950000,5.038472,411000
2011-03-21,8.940000,9.130000,8.920000,9.100000,5.122916,592000
2011-03-22,9.100000,9.170000,9.080000,9.090000,5.117286,432000
2011-03-23,9.090000,9.100000,9.030000,9.090000,5.117286,385000
