Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,5.650000,5.680000,5.640000,5.660000,4.342936,9859000
2011-01-04,5.660000,5.670000,5.440000,5.500000,4.220169,36415000
2011-01-05,5.530000,5.620000,5.500000,5.560000,4.266206,19909000
2011-01-06,5.590000,5.680000,5.590000,5.640000,4.327590,17239000
2011-01-07,5.680000,5.740000,5.660000,5.700000,4.373629,15191000
2011-01-10,5.750000,5.800000,5.690000,5.690000,4.365956,14772000
2011-01-11,5.690000,5.720000,5.640000,5.660000,4.342936,8500000
2011-01-12,5.700000,5.740000,5.670000,5.720000,4.388976,12743000
2011-01-13,5.720000,5.740000,5.690000,5.710000,4.381303,5367000
2011-01-14,5.720000,5.750000,5.700000,5.710000,4.381303,5535000
2011-01-17,5.710000,5.720000,5.660000,5.670000,4.350609,4169000
2011-01-18,5.700000,5.710000,5.650000,5.660000,4.342936,4359000
2011-01-19,5.680000,5.700000,5.660000,5.670000,4.350609,3646000
2011-01-20,5.670000,5.670000,5.570000,5.580000,4.281554,9755000
2011-01-21,5.580000,5.650000,5.530000,5.570000,4.273880,8217000
2011-01-24,5.620000,5.620000,5.390000,5.440000,4.174131,16429000
2011-01-25,5.480000,5.480000,5.330000,5.340000,4.097400,12632000
2011-01-26,5.320000,5.440000,5.320000,5.440000,4.174131,5782000
2011-01-27,5.400000,5.420000,5.350000,5.370000,4.120419,7779000
2011-01-28,5.340000,5.380000,5.330000,5.370000,4.120419,5278000
2011-01-31,5.280000,5.330000,5.260000,5.260000,4.036016,9862000
2011-02-01,5.310000,5.340000,5.280000,5.300000,4.066708,4538000
2011-02-02,5.340000,5.440000,5.340000,5.380000,4.128091,6932000
2011-02-07,5.350000,5.470000,5.350000,5.430000,4.166457,6791000
2011-02-08,5.460000,5.520000,5.460000,5.480000,4.204822,9268000
2011-02-09,5.470000,5.490000,5.310000,5.390000,4.135765,13722000
2011-02-10,5.320000,5.440000,5.310000,5.310000,4.074381,11856000
2011-02-11,5.330000,5.350000,5.220000,5.250000,4.028343,8360000
2011-02-14,5.250000,5.360000,5.250000,5.320000,4.082054,8107000
2011-02-15,5.350000,5.380000,5.290000,5.300000,4.066708,3884000
2011-02-16,5.290000,5.350000,5.270000,5.300000,4.066708,5963000
2011-02-17,5.310000,5.330000,5.290000,5.300000,4.066708,4528000
2011-02-18,5.300000,5.490000,5.300000,5.470000,4.197148,16558000
2011-02-21,5.440000,5.480000,5.400000,5.470000,4.197148,4954000
2011-02-22,5.400000,5.430000,5.350000,5.410000,4.151110,4641000
2011-02-23,5.270000,5.280000,5.140000,5.200000,3.989977,27178000
2011-02-24,5.120000,5.160000,4.990000,5.030000,3.859536,21167000
2011-02-25,5.030000,5.200000,5.020000,5.200000,3.989977,10351000
2011-02-28,5.070000,5.160000,5.070000,5.090000,3.905574,8703000
2011-03-01,5.080000,5.190000,5.080000,5.160000,3.959285,7766000
2011-03-02,5.100000,5.140000,5.070000,5.070000,3.890228,4517000
2011-03-03,5.110000,5.250000,5.110000,5.160000,3.959285,14100000
2011-03-04,5.220000,5.310000,5.190000,5.190000,3.982304,8203000
2011-03-07,5.200000,5.300000,5.190000,5.240000,4.020669,3550000
2011-03-08,5.200000,5.300000,5.200000,5.300000,4.066708,3539000
2011-03-09,5.350000,5.390000,5.300000,5.310000,4.074381,6151000
2011-03-10,5.340000,5.340000,5.250000,5.290000,4.059034,3172000
2011-03-11,5.220000,5.240000,5.170000,5.240000,4.020669,10693000
2011-03-14,5.150000,5.240000,5.150000,5.230000,4.012997,6529000
2011-03-15,5.180000,5.180000,4.950000,5.000000,3.836517,26980000
2011-03-16,5.100000,5.130000,5.040000,5.100000,3.913247,11007000
2011-03-17,5.000000,5.050000,4.980000,5.010000,3.844189,10414000
2011-03-18,5.100000,5.100000,5.000000,5.020000,3.851862,15870000
2011-03-21,5.070000,5.200000,5.040000,5.200000,3.989977,10711000
2011-03-22,5.200000,5.230000,5.180000,5.190000,3.982304,5592000
2011-03-23,5.120000,5.240000,5.120000,5.230000,4.012997,5413000
2011-03-24,5.280000,5.340000,5.220000,5.300000,4.066708,6632000
2011-03-25,5.350000,5.410000,5.330000,5.360000,4.112747,8095000
2011-03-28,5.390000,5.390000,5.260000,5.330000,4.089727,3628000
2011-03-29,5.350000,5.390000,5.320000,5.350000,4.105073,2547000
2011-03-30,5.390000,5.450000,5.370000,5.430000,4.166457,7897000
2011-03-31,5.460000,5.480000,5.420000,5.460000,4.189476,9059000
2011-04-01,5.470000,5.500000,5.440000,5.470000,4.197148,7910000
2011-04-04,5.490000,5.520000,5.420000,5.430000,4.166457,5706000
2011-04-05,5.400000,5.430000,5.350000,5.380000,4.128091,6343000
2011-04-06,5.390000,5.390000,5.330000,5.360000,4.112747,7889000
2011-04-07,5.370000,5.370000,5.330000,5.350000,4.105073,4449000
2011-04-08,5.350000,5.410000,5.330000,5.370000,4.120419,8428000
2011-04-11,5.300000,5.330000,5.260000,5.300000,4.066708,11722000
2011-04-12,5.290000,5.290000,5.230000,5.230000,4.012997,8112000
2011-04-13,5.260000,5.310000,5.220000,5.310000,4.074381,6223000
2011-04-14,5.290000,5.300000,5.240000,5.270000,4.043689,2590000
2011-04-15,5.290000,5.290000,5.220000,5.240000,4.020669,3180000
2011-04-18,5.220000,5.230000,5.160000,5.190000,3.982304,5511000
2011-04-19,5.190000,5.210000,5.170000,5.170000,3.966959,4597000
2011-04-20,5.240000,5.290000,5.200000,5.270000,4.043689,5063000
2011-04-21,5.310000,5.370000,5.280000,5.350000,4.105073,5894000
2011-04-25,5.380000,5.380000,5.280000,5.320000,4.082054,1699000
2011-04-26,5.340000,5.340000,5.270000,5.330000,4.089727,3566000
2011-04-27,5.380000,5.380000,5.300000,5.350000,4.105073,4535000
2011-04-28,5.360000,5.370000,5.330000,5.350000,4.105073,4080000
2011-04-29,5.360000,5.360000,5.230000,5.270000,4.043689,5605000
2011-05-03,5.290000,5.290000,5.210000,5.260000,4.036016,4367000
2011-05-04,5.260000,5.260000,5.110000,5.190000,3.999793,6981000
2011-05-05,5.200000,5.200000,5.040000,5.090000,3.922727,9227000
2011-05-06,5.020000,5.120000,5.000000,5.120000,3.945847,8123000
2011-05-09,5.180000,5.180000,5.130000,5.150000,3.968966,4930000
2011-05-10,5.150000,5.200000,5.140000,5.180000,3.992087,5469000
2011-05-11,5.180000,5.200000,5.150000,5.170000,3.984380,2159000
2011-05-12,5.100000,5.140000,5.070000,5.090000,3.922727,4050000
2011-05-13,5.210000,5.390000,5.200000,5.350000,4.123102,17282000
2011-05-16,5.300000,5.400000,5.270000,5.400000,4.161636,9537000
2011-05-18,5.410000,5.500000,5.390000,5.470000,4.215581,13379000
2011-05-19,5.480000,5.550000,5.480000,5.490000,4.230996,9394000
2011-05-20,5.510000,5.530000,5.480000,5.490000,4.230996,3931000
2011-05-23,5.480000,5.480000,5.350000,5.380000,4.146221,5321000
2011-05-24,5.380000,5.430000,5.300000,5.300000,4.084568,6875000
2011-05-25,5.300000,5.330000,5.230000,5.330000,4.107687,8549000
2011-05-26,5.340000,5.400000,5.330000,5.370000,4.138514,5908000
2011-05-27,5.390000,5.440000,5.360000,5.390000,4.153929,6009000
2011-05-30,5.380000,5.390000,5.320000,5.350000,4.123102,3416000
2011-05-31,5.300000,5.320000,5.260000,5.320000,4.099982,12084000
2011-06-01,5.360000,5.410000,5.350000,5.400000,4.161636,9312000
2011-06-02,5.360000,5.390000,5.320000,5.330000,4.107687,3892000
2011-06-03,5.380000,5.430000,5.320000,5.350000,4.123102,5255000
2011-06-06,5.310000,5.360000,5.250000,5.260000,4.053741,4440000
2011-06-07,5.260000,5.300000,5.200000,5.300000,4.084568,4779000
2011-06-08,5.400000,5.440000,5.350000,5.360000,4.130809,10252000
2011-06-09,5.380000,5.410000,5.330000,5.330000,4.107687,5543000
2011-06-10,5.380000,5.390000,5.310000,5.350000,4.123102,3635000
2011-06-13,5.330000,5.330000,5.280000,5.320000,4.099982,3812000
2011-06-14,5.290000,5.330000,5.240000,5.280000,4.069154,6622000
2011-06-15,5.340000,5.450000,5.330000,5.420000,4.177049,10423000
2011-06-16,5.370000,5.370000,5.270000,5.330000,4.107687,9477000
2011-06-17,5.340000,5.440000,5.270000,5.440000,4.192462,18532000
2011-06-20,5.370000,5.410000,5.320000,5.330000,4.107687,7069000
2011-06-21,5.370000,5.400000,5.350000,5.380000,4.146221,7063000
2011-06-22,5.390000,5.390000,5.310000,5.320000,4.099982,3961000
2011-06-23,5.300000,5.350000,5.260000,5.350000,4.123102,5737000
2011-06-24,5.320000,5.330000,5.270000,5.300000,4.084568,4535000
2011-06-27,5.280000,5.360000,5.270000,5.340000,4.115395,3757000
2011-06-28,5.360000,5.390000,5.320000,5.330000,4.107687,3021000
2011-06-29,5.380000,5.400000,5.340000,5.360000,4.130809,3365000
2011-06-30,5.400000,5.470000,5.400000,5.420000,4.177049,11509000
2011-07-01,5.440000,5.490000,5.430000,5.470000,4.215581,3163000
2011-07-04,5.500000,5.510000,5.470000,5.500000,4.238704,4380000
2011-07-05,5.500000,5.500000,5.420000,5.480000,4.223290,2632000
2011-07-06,5.490000,5.540000,5.460000,5.490000,4.230996,6655000
2011-07-07,5.520000,5.540000,5.490000,5.500000,4.238704,3647000
2011-07-08,5.530000,5.570000,5.520000,5.570000,4.292651,6723000
2011-07-11,5.570000,5.670000,5.560000,5.670000,4.369718,13504000
2011-07-12,5.650000,5.650000,5.430000,5.530000,4.261823,8737000
2011-07-13,5.520000,5.550000,5.450000,5.500000,4.238704,3203000
2011-07-14,5.490000,5.580000,5.460000,5.560000,4.284943,4646000
2011-07-15,5.600000,5.620000,5.520000,5.560000,4.284943,4799000
2011-07-18,5.550000,5.710000,5.510000,5.650000,4.354303,14063000
2011-07-19,5.700000,5.790000,5.660000,5.680000,4.377424,11892000
2011-07-20,5.730000,5.750000,5.610000,5.730000,4.415958,7149000
2011-07-21,5.730000,5.770000,5.710000,5.740000,4.423664,5305000
2011-07-22,5.780000,5.820000,5.750000,5.780000,4.454492,10311000
2011-07-25,5.760000,5.760000,5.690000,5.760000,4.439079,4931000
2011-07-26,5.760000,5.840000,5.750000,5.840000,4.500731,7041000
2011-07-27,5.840000,5.910000,5.820000,5.890000,4.539266,16154000
2011-07-28,5.780000,5.880000,5.780000,5.840000,4.500731,6812000
2011-07-29,5.890000,5.900000,5.780000,5.890000,4.539266,6106000
2011-08-01,5.940000,5.970000,5.920000,5.920000,4.562386,9083000
2011-08-02,5.870000,5.900000,5.830000,5.850000,4.508438,4671000
2011-08-03,5.800000,5.850000,5.730000,5.840000,4.500731,8606000
2011-08-04,5.840000,5.870000,5.750000,5.870000,4.523851,6268000
2011-08-05,5.550000,5.690000,5.550000,5.580000,4.300357,24837000
2011-08-08,5.520000,5.550000,5.320000,5.410000,4.169342,21622000
2011-08-10,5.450000,5.500000,5.110000,5.170000,3.984380,18388000
2011-08-11,5.170000,5.170000,4.970000,5.110000,3.938141,15393000
2011-08-12,5.290000,5.340000,5.120000,5.210000,4.015208,13476000
2011-08-15,5.320000,5.340000,5.190000,5.240000,4.038326,6850000
2011-08-16,5.250000,5.300000,5.110000,5.130000,3.953554,5858000
2011-08-17,5.140000,5.180000,5.050000,5.140000,3.961261,9587000
2011-08-18,5.150000,5.190000,5.140000,5.190000,3.999793,8723000
2011-08-19,5.050000,5.090000,5.020000,5.030000,3.876487,7037000
2011-08-22,5.000000,5.140000,4.920000,5.140000,3.961261,7265000
2011-08-23,5.100000,5.190000,5.060000,5.090000,3.922727,4434000
2011-08-24,5.140000,5.140000,5.030000,5.040000,3.884193,10368000
2011-08-25,5.100000,5.100000,5.030000,5.080000,3.938463,7611000
2011-08-26,5.030000,5.190000,5.030000,5.170000,4.008239,6800000
2011-08-29,5.160000,5.250000,5.150000,5.180000,4.015991,4156000
2011-08-31,5.140000,5.300000,5.140000,5.300000,4.109026,9377000
2011-09-01,5.290000,5.370000,5.170000,5.230000,4.054756,8690000
2011-09-02,5.270000,5.400000,5.130000,5.170000,4.008239,5193000
2011-09-05,5.070000,5.080000,5.030000,5.050000,3.915205,5287000
2011-09-06,5.020000,5.130000,5.010000,5.130000,3.977227,4143000
